英文,中文,英文例句,中文例句
elevator,電梯,Take the elevator to your room.,搭電梯到你的房間。
stairs,樓梯,Use the stairs for exercise.,用樓梯運動。
floor,樓層,My room is on the fifth floor.,我的房間在五樓.
key,鑰匙,Here is your room key.,這是你的房間鑰匙.
card,卡片,Use your key card to open the door.,用你的鑰匙卡開門.
safe,保險箱,Keep your valuables in the safe.,把貴重物品放在保險箱.
view,景色,The room has a great view.,房間有很棒的景色.
balcony,陽台,We enjoyed coffee on the balcony.,我們在陽台享受咖啡.
window,窗戶,Open the window for fresh air.,打開窗戶讓新鮮空氣進來.
air conditioning,冷氣,The air conditioning is broken.,冷氣壞了.
heating,暖氣,Turn on the heating, it's cold.,打開暖氣，天氣很冷.
wifi,無線網路,Does the hotel have free wifi?,飯店有免費無線網路嗎？
internet,網路,I need internet access.,我需要網路連線.
password,密碼,What is the wifi password?,無線網路密碼是什麼？
phone,電話,Call the front desk.,打電話給櫃檯.
television,電視,Watch TV in your room.,在房間看電視.
remote control,遙控器,Where is the remote control?,遙控器在哪裡？
bathroom,浴室,The bathroom is clean.,浴室很乾淨.
shower,淋浴,I take a shower every day.,我每天淋浴.
towel,毛巾,Here is a clean towel.,這是一條乾淨的毛巾.
soap,肥皂,Use soap to wash your hands.,用肥皂洗手.
shampoo,洗髮精,I need shampoo for my hair.,我需要洗髮精洗頭.
toothbrush,牙刷,Don't forget your toothbrush.,別忘了你的牙刷.
toothpaste,牙膏,Use toothpaste to brush your teeth.,用牙膏刷牙.
mirror,鏡子,Look in the mirror.,照鏡子.
sink,水槽,Wash your hands in the sink.,在水槽洗手.
toilet,廁所,The toilet is in the bathroom.,廁所在浴室.
tissue,衛生紙,We need more tissue.,我們需要更多衛生紙.
hair dryer,吹風機,Use the hair dryer to dry your hair.,用吹風機吹乾頭髮.
iron,熨斗,Iron your clothes before the meeting.,會議前熨燙你的衣服.
ironing board,燙衣板,The ironing board is in the closet.,燙衣板在衣櫃裡.
closet,衣櫃,Hang your clothes in the closet.,把衣服掛在衣櫃裡.
hanger,衣架,Use a hanger for your shirt.,用衣架掛你的襯衫.
drawer,抽屜,Put your clothes in the drawer.,把衣服放在抽屜裡.
lamp,檯燈,Turn on the lamp.,打開檯燈.
switch,開關,Flip the switch to turn on the light.,按開關打開燈.
plug,插頭,Plug in the charger.,插上充電器.
socket,插座,The socket is behind the bed.,插座在床後面.
adapter,轉接器,You need a travel adapter.,你需要旅行轉接器.
voltage,電壓,Check the voltage before plugging in.,插電前檢查電壓.
electricity,電力,The electricity went out.,停電了.
light,燈,Turn on the light.,打開燈.
dark,黑暗,It's dark in the room.,房間很暗.
bright,明亮的,The room is bright and sunny.,房間明亮又陽光充足.
noise,噪音,There is too much noise.,噪音太大了.
quiet,安靜的,The hotel is quiet at night.,飯店晚上很安靜.
comfortable,舒適的,The bed is very comfortable.,床很舒適.
soft,柔軟的,The pillow is soft.,枕頭很柔軟.
hard,硬的,The mattress is too hard.,床墊太硬了.
clean,乾淨的,The room is clean and tidy.,房間乾淨整潔.
dirty,髒的,The floor is dirty.,地板很髒.
smell,氣味,The room smells fresh.,房間聞起來很新鮮.
taste,味道,The food tastes delicious.,食物味道很美味.
sound,聲音,I can hear the sound of waves.,我可以聽到海浪聲.
touch,觸摸,Don't touch the exhibits.,不要觸摸展品.
sight,視覺,The sight is beautiful.,景色很美麗.
feeling,感覺,I have a good feeling about this trip.,我對這次旅行有好的感覺.
experience,經驗,Traveling is a great experience.,旅行是很好的經驗.
culture,文化,Learn about the local culture.,了解當地文化.
tradition,傳統,Respect local traditions.,尊重當地傳統.
custom,習俗,Every country has its own customs.,每個國家都有自己的習俗.
language,語言,I want to learn a new language.,我想學一種新語言.
speak,說,Can you speak English?,你會說英語嗎？
listen,聽,Listen to the guide.,聽導遊說.
read,讀,Read the travel guide.,讀旅遊指南.
write,寫,Write down important information.,寫下重要資訊.
understand,了解,I understand what you mean.,我了解你的意思.
communicate,溝通,Communication is important when traveling.,旅行時溝通很重要.
ask,問,Ask for directions if you're lost.,如果迷路了就問路.
answer,回答,Answer the question.,回答問題.
greet,問候,Greet people politely.,有禮貌地問候人.
introduce,介紹,Let me introduce myself.,讓我介紹我自己.
meet,見面,Nice to meet you.,很高興見到你.
know,知道,I know a good restaurant.,我知道一家好餐廳.
think,想,I think this is the right way.,我認為這是正確的方向.
believe,相信,I believe we can find it.,我相信我們能找到它.
hope,希望,I hope the weather is good.,我希望天氣好.
wish,願望,Make a wish before you blow out the candle.,吹蠟燭前許願.
dream,夢想,Traveling is my dream.,旅行是我的夢想.
plan,計畫,We need to plan our trip carefully.,我們需要仔細計畫旅行.
prepare,準備,Prepare for your journey.,為你的旅程做準備.
pack,打包,Pack your clothes carefully.,仔細打包你的衣服.
leave,離開,We leave tomorrow morning.,我們明天早上離開.
arrive,抵達,We arrived at the hotel safely.,我們安全抵達飯店.
return,返回,When do you return home?,你什麼時候回家？
stay,停留,How long will you stay?,你會停留多久？
visit,參觀,We visited many museums.,我們參觀了很多博物館.
enjoy,享受,Enjoy your vacation.,享受你的假期.
relax,放鬆,Relax on the beach.,在海灘放鬆.
rest,休息,Take a rest after walking.,走路後休息一下.
sleep,睡覺,I need to sleep early tonight.,我今晚需要早睡.
wake up,醒來,Wake up early for the tour.,早起參加旅遊.
eat,吃,Let's eat something.,我們吃點東西吧。
drink,喝,Drink plenty of water.,多喝水.
buy,買,I want to buy souvenirs.,我想買紀念品.
sell,賣,They sell local crafts.,他們賣當地工藝品.
pay,支付,How should I pay?,我該如何付款？
money,錢,I need to change money.,我需要換錢.
price,價格,The price is reasonable.,價格合理。
expensive,昂貴的,This hotel is expensive.,這家飯店很昂貴.
cheap,便宜的,The food is cheap and good.,食物便宜又好吃.
free,免費的,Admission is free on Sundays.,週日免費入場.
discount,折扣,We got a discount on the room.,我們的房間有折扣.
bargain,殺價,Can I bargain for this?,這個可以殺價嗎？
quality,品質,The quality is excellent.,品質優秀。
quantity,數量,What quantity do you need?,你需要多少數量？
available,可用的,Is this room available?,這個房間可訂嗎？
booked,已訂的,All rooms are booked.,所有房間都已訂滿.
full,滿的,The hotel is full tonight.,飯店今晚客滿.
empty,空的,The restaurant is empty.,餐廳是空的.
crowded,擁擠的,The beach is crowded today.,海灘今天很擁擠.
busy,忙碌的,The city is busy during the day.,城市白天很忙碌.
quiet,安靜的,The park is quiet in the morning.,公園早上很安靜.
noisy,吵雜的,The street is noisy at night.,街道晚上很吵雜.
safe,安全的,This area is safe to walk.,這個區域走路很安全.
dangerous,危險的,Don't go there, it's dangerous.,不要去那裡，很危險.
helpful,有幫助的,The staff is very helpful.,員工很有幫助.
friendly,友善的,People here are very friendly.,這裡的人很友善.
polite,有禮貌的,Be polite to others.,對他人有禮貌.
rude,粗魯的,Don't be rude to people.,不要對人粗魯.
kind,善良的,She is very kind to strangers.,她對陌生人很善良.
generous,慷慨的,He is generous with tips.,他給小費很大方.
stingy,小氣的,Don't be stingy with tips.,給小費不要小氣.
happy,快樂的,We had a happy trip.,我們有個快樂的旅行.
sad,悲傷的,I'm sad to leave.,我很難過要離開.
excited,興奮的,I'm excited about the trip.,我對旅行感到興奮.
nervous,緊張的,I'm nervous about flying.,我對搭飛機感到緊張.
calm,平靜的,Stay calm during the flight.,飛行時保持平靜.
worried,擔心的,Don't worry about anything.,不要擔心任何事情.
afraid,害怕的,Don't be afraid of the dark.,不要害怕黑暗.
brave,勇敢的,Be brave and try new things.,勇敢嘗試新事物.
strong,強壯的,I feel strong after hiking.,健行後我覺得強壯.
weak,虛弱的,I feel weak from the heat.,我因為炎熱感到虛弱.
healthy,健康的,Traveling keeps me healthy.,旅行讓我保持健康.
sick,生病的,I got sick from the food.,我因為食物生病了.
tired,疲倦的,I'm tired from the long journey.,長途旅行讓我疲倦.
energetic,有活力的,I feel energetic after sleep.,睡覺後我覺得有活力.
bored,無聊的,Don't be bored, there's much to see.,不要無聊，有很多東西可看.
interested,感興趣的,I'm interested in history.,我對歷史感興趣.
boring,無聊的,The movie was boring.,電影很無聊.
amazing,驚人的,The view is amazing.,景色令人驚艷.
wonderful,美好的,We had a wonderful time.,我們度過了美好的時光.
terrible,糟糕的,The weather was terrible.,天氣很糟糕.
excellent,優秀的,The service is excellent.,服務優秀.
poor,差的,The food quality is poor.,食物品質很差.
perfect,完美的,The day was perfect.,這一天很完美.
awful,糟糕的,That was an awful experience.,那是糟糕的經驗.
great,很棒的,It was a great trip.,那是很棒的旅行.
good,好的,Good morning!,早安！
bad,壞的,That's a bad idea.,那是個壞主意.
beautiful,美麗的,The sunset is beautiful.,日落很美麗.
ugly,醜陋的,The building is ugly.,這棟建築很醜陋.
modern,現代的,This is a modern city.,這是一座現代城市.
ancient,古老的,We visited ancient ruins.,我們參觀了古代遺跡.
famous,著名的,This is a famous landmark.,這是著名的地標.
unknown,未知的,We explored unknown places.,我們探索了未知的地方.
popular,受歡迎的,This beach is popular with tourists.,這個海灘受遊客歡迎.
unique,獨特的,This culture is unique.,這個文化很獨特.
common,常見的,This is a common problem.,這是常見的問題.
rare,稀有的,This is a rare opportunity.,這是難得的機會.
special,特別的,Today is a special day.,今天是特別的一天.
normal,正常的,Everything is normal.,一切正常.
strange,奇怪的,That's a strange custom.,那是奇怪的習俗.
familiar,熟悉的,This place looks familiar.,這個地方看起來很熟悉.
foreign,外國的,I love foreign food.,我喜歡外國食物.
local,當地的,Try local food.,嘗試當地食物.
international,國際的,This is an international airport.,這是國際機場.
national,國家的,Visit national parks.,參觀國家公園.
natural,自然的,We enjoy natural scenery.,我們享受自然風景.
artificial,人工的,This is an artificial lake.,這是人工湖.
real,真實的,This is a real adventure.,這是真正的冒險.
fake,假的,Don't buy fake souvenirs.,不要買假紀念品.
true,真實的,It's true that traveling is fun.,旅行很有趣是真的。
false,錯誤的,That information is false.,那個資訊是錯誤的.
right,正確的,Turn right at the corner.,在轉角右轉.
left,左邊,Go left for the museum.,往左走去博物館.
straight,直走,Go straight ahead.,直走.
back,後面,Look back at the view.,回頭看景色.
front,前面,The hotel is in front of you.,飯店在你前面.
up,上面,Go up the stairs.,上樓梯.
down,下面,Go down to the lobby.,下樓到大廳.
near,附近,The restaurant is near here.,餐廳在附近.
far,遠的,The airport is far away.,機場很遠.
close,近的,The beach is close to the hotel.,海灘離飯店很近.
distance,距離,What is the distance to the city?,到城市的距離是多少？
direction,方向,Which direction should I go?,我該往哪個方向走？
map,地圖,Look at the map.,看地圖.
GPS,導航,Use GPS to find the place.,用導航找地方.
lost,迷路的,I got lost in the city.,我在城市裡迷路了.
found,找到,We found the hotel easily.,我們很容易找到飯店.
search,搜尋,Search for the best hotel.,搜尋最好的飯店.
find,找到,Can you find the address?,你能找到地址嗎？
discover,發現,We discovered a hidden gem.,我們發現了一個隱藏的寶石.
explore,探索,Explore the city on foot.,步行探索城市.
wander,漫遊,Wander through the streets.,在街道上漫遊.
roam,遊蕩,Roam freely in the park.,在公園自由遊蕩.
walk,走路,Walk to the museum.,走路去博物館.
run,跑步,Run along the beach.,在海灘跑步.
jump,跳,Jump into the water.,跳進水裡.
climb,爬,Climb the mountain.,爬這座山.
swim,游泳,Swim in the ocean.,在海裡游泳.
fly,飛,Fly to another country.,飛到另一個國家.
drive,開車,Drive to the countryside.,開車去鄉下.
ride,騎,Ride a bicycle.,騎腳踏車.
sail,航行,Sail across the sea.,航行越過海洋.
travel,旅行,Travel the world.,環遊世界.
trip,旅程,Enjoy your trip.,享受你的旅程.
tour,旅遊,Take a city tour.,參加城市旅遊.
vacation,假期,Have a nice vacation.,有個美好的假期.
holiday,假日,Spend the holiday with family.,與家人共度假期.
weekend,週末,Go away for the weekend.,週末出遊.
break,休息,Take a break from work.,從工作中休息一下.
escape,逃避,Escape from daily life.,逃避日常生活.
freedom,自由,Enjoy the freedom of travel.,享受旅行的自由.
peace,和平,Find peace in nature.,在自然中找到平靜.
joy,快樂,Travel brings joy to life.,旅行給生活帶來快樂.
love,愛,I love traveling.,我愛旅行.
life,生活,Life is a journey.,生活是一段旅程.
world,世界,See the world.,看世界.
earth,地球,Protect the earth.,保護地球.
nature,自然,Respect nature.,尊重自然.
environment,環境,Keep the environment clean.,保持環境乾淨.
planet,行星,Our planet is beautiful.,我們的星球很美麗.
universe,宇宙,The universe is vast.,宇宙很浩瀚.
star,星星,Look at the stars at night.,晚上看星星.
moon,月亮,The moon is beautiful tonight.,今晚月亮很美.
sun,太陽,The sun is hot.,太陽很熱.
sky,天空,The sky is blue.,天空是藍色的.
cloud,雲,Look at the clouds.,看雲.
rain,雨,It's raining.,在下雨.
snow,雪,It snowed last night.,昨晚下雪了.
wind,風,The wind is blowing.,風在吹.
storm,暴風雨,The storm is coming.,暴風雨要來了.
weather,天氣,Check the weather forecast.,查看天氣預報.
temperature,溫度,The temperature is 25 degrees.,溫度是25度.
season,季節,Each season has its beauty.,每個季節都有它的美.
spring,春天,Flowers bloom in spring.,花朵在春天綻放.
summer,夏天,Summer is hot.,夏天很熱.
autumn,秋天,Leaves fall in autumn.,樹葉在秋天落下.
winter,冬天,Winter is cold.,冬天很冷.
