"word","zh","en_sentence","zh_sentence"
"young","年輕的","The young boy plays soccer every day.","那個年輕男孩每天踢足球。"
"full","完全的；飽","I am full after eating dinner.","吃完晚餐後我很飽。"
"lucky","幸運的","You are lucky to find a seat.","你很幸運找到一個座位。"
"so","如此的","I was so tired after running.","跑完後我如此疲倦。"
"really","真地","She is really excited about the trip.","她對這次旅行真地很興奮。"
"during","在…期間","During the test, be quiet.","在考試期間要保持安靜。"
"near","在…附近","There is a park near my house.","我家附近有一個公園。"
"guess","猜想","I guess the answer is correct.","我猜想答案是對的。"
"dining room","飯廳","We eat dinner in the dining room.","我們在飯廳吃晚餐。"
"balcony","陽臺","He stands on the balcony to read.","他站在陽臺上看書。"
"koala","無尾熊","A koala sleeps in the tree all day.","無尾熊整天在樹上睡覺。"
"hippo","河馬","The hippo stands in the water.","河馬站在水裡。"
"zebra","斑馬","A zebra runs across the field.","斑馬跑過田野。"
"kangaroo","袋鼠","The kangaroo hops quickly.","袋鼠跳得很快。"
"person","人","That person is my neighbor.","那個人是我的鄰居。"
"people","人們","People are waiting for the bus.","人們在等公車。"
"man","男人","The man helps me cross the street.","那個男人幫我過馬路。"
"woman","女人","The woman buys groceries every day.","那位女人每天買食品雜貨。"
"center","中心","Meet me at the center of the park.","在公園的中心與我碰面。"
"future","未來","I want to travel in the future.","我想在未來旅行。"
"age","年齡","What is your age?","你的年齡是多少？"
"minute","分鐘","Please wait one minute.","請等一下，一分鐘。"
"Christmas","聖誕節","We give gifts on Christmas.","我們在聖誕節送禮物。"
"bell","鈴；鐘","Ring the bell when you arrive.","到達時請按鈴。"
"turkey","火雞","We eat turkey at Thanksgiving.","我們在感恩節吃火雞。"
"thing","事物；東西","What is this thing?","這是什麼東西？"
"glasses","眼鏡","She wears glasses to read.","她戴眼鏡看書。"
"belt","皮帶","Please buckle your belt.","請繫好你的皮帶。"
"think","想","I think this is correct.","我認為這是正確的。"
"quiet","安靜的","Be quiet during the test.","考試期間要保持安靜。"
"interesting","有趣的","This book is interesting.","這本書很有趣。"
"favorite","最喜愛的","Soccer is my favorite sport.","足球是我最喜愛的運動。"
"any","任何的","You can choose any color.","你可以選擇任何一種顏色。"
"wait","等待","Please wait for me outside.","請在外面等我。"
"worry","擔心；煩惱","Don’t worry about the test.","別為考試擔心。"
"get","拿到；取得","I want to get a new book.","我想拿到一本新書。"
"share","分享","Please share your snack with me.","請和我分享你的點心。"
"kick","踢","He can kick the ball far.","他能把球踢得很遠。"
"remember","記得","Remember to do your homework.","記得做你的作業。"
"fight","打架","Don’t fight with your friends.","不要和你的朋友打架。"
"shout","喊叫","Please don’t shout in the library.","請不要在圖書館喊叫。"
"behind","在…後面","The cat is behind the sofa.","貓在沙發後面。"
"front","前面","Wait in front of the school.","請在學校前面等。"
"between","在…之間","The ball is between the shoes.","球在兩隻鞋子之間。"
"down","向下","Sit down on the chair.","坐在椅子上。"
"then","那時；然後","First we eat, then we play.","我們先吃飯，然後再玩。"
"even","甚至","Even my little brother can do it.","連我弟弟都能做。"
"wrong","錯誤的","This answer is wrong.","這個答案是錯誤的。"
"many","許多的","There are many stars in the sky.","天空中有許多星星。"
"something","某事；某物","I have something to tell you.","我有事要告訴你。"
"everything","每件事","Everything is ready for the trip.","旅行的一切已經準備好了。"
"anything","任何事情","Is there anything I can help with?","有什麼我可以幫忙的嗎？"
"dodge ball","躲避球","We play dodge ball at gym class.","我們在體育課玩躲避球。"
"tennis","網球","She plays tennis every Saturday.","她每星期六打網球。"
"badminton","羽球","They play badminton after school.","他們放學後打羽球。"
"sport","運動","Soccer is a popular sport.","足球是一項受歡迎的運動。"
"player","選手；球員","He is a good volleyball player.","他是一名優秀的排球選手。"
"skate","溜冰","We skate at the rink on weekends.","我們週末在溜冰場溜冰。"
"past","過去；走過","He walked past the school.","他走過學校。"
"gym","體育館；健身房","We have gym class on Monday.","我們星期一有體育課。"
"rat","老鼠","A rat runs in the alley.","有一隻老鼠在巷子裡跑。"
"hour","小時","The movie lasts one hour.","這部電影長度是一小時。"
"story","故事","She tells a story before bed.","她睡前講故事。"
"centimeter","公分","The book is twenty centimeters long.","這本書長二十公分。"
"sure","確定的；確定地","Are you sure about your answer?","你對你的答案確定嗎？"
"only","唯一的；只有","This is the only cake left.","這是唯一剩下的蛋糕。"
"wonderful","美好的","We had a wonderful time at the park.","我們在公園度過了美好的時光。"
"well","好地","He speaks English very well.","他英文講得很好地。"
"hey","嘿；喂","Hey, wait for me!","嘿，等我一下！"
"catch","抓住","Try to catch the ball!","試著接住那顆球！"
"count","數；計算","Please count the books on the desk.","請數一數桌上的書。"
"hold","拿；舉辦","Please hold this for a second.","請幫我拿一下。"
"carry","搬運；攜帶","He carried the heavy bag.","他搬著沉重的包包。"
"love","愛","I love my family.","我愛我的家人。"
"kiss","吻","She gave her baby a kiss.","她親了她的寶寶一下。"
"else","其他的","What else do you need?","你還需要什麼？"
"May","五月","We have a holiday in May.","我們五月有假期。"
"before","在…之前","Wash your hands before you eat.","在你吃之前先洗手。"
"after","在…之後","Let’s play soccer after school.","放學之後我們來踢足球。"
"about","大約；關於","This book is about animals.","這本書是關於動物的。"
"or","或者；否則","Do you want tea or juice?","你要茶或者果汁？"
"off","脫下；離去","Take off your shoes at the door.","在門口把鞋子脫下。"
"noodle","麵條","I like noodle with soup.","我喜歡加湯的麵條。"
"chocolate","巧克力","Chocolate melts in your mouth.","巧克力在嘴裡融化。"
"shake","搖動","Please shake the bottle before drinking.","喝之前請搖動瓶子。"
"sugar","糖","Add sugar to your tea if you like it sweet.","如果你喜歡甜的，就在茶裡加糖。"
"meal","餐","We eat three meals a day.","我們一天吃三餐。"
"bottle","瓶子","Bring a water bottle to gym class.","去體育課時帶一個水瓶。"
"plate","盤子","Please put the cake on a plate.","請把蛋糕放到盤子上。"
"pick","撿起","Pick up the trash in the yard.","把院子裡的垃圾撿起來。"
"mean","吝嗇的；意指","What do you mean by that?","你那樣說是什麼意思？"
"first","第一(的)","She came in first in the race.","她在比賽中獲得第一名。"
"second","第二(的)","He finished second in the contest.","他在比賽中拿到第二名。"
"third","第三(的)","I got the third slice of pizza.","我拿到了第三片披薩。"
"money","錢","He saved his money to buy a toy.","他存錢想買一個玩具。"
"Mother's Day","母親節","We give flowers on Mother's Day.","我們在母親節送花。"
"idea","主意；點子","I have an idea for a new game.","我有一個新遊戲的點子。"
"because","因為","I am happy because I passed the test.","因為我考試及格，所以很開心。"
"drawer","抽屜","The toy is in the drawer.","玩具在抽屜裡。"
"bath","澡","I take a bath every night.","我每天晚上洗澡。"
"cow","母牛","A cow eats grass in the field.","母牛在田裡吃草。"
"market","市場","We go to the market on Sunday.","我們星期天去市場。"
"expensive","昂貴的","That toy is too expensive.","那個玩具太昂貴了。"
"cheap","便宜的","These shoes are very cheap.","這雙鞋子很便宜。"
"enough","足夠的","Do we have enough chairs?","我們有足夠的椅子嗎？"
"all","全部的；整個的","All students must bring their books.","所有學生都必須帶書來。"
"poor","可憐的；貧窮的；不佳的","The poor puppy needs food.","那隻可憐的小狗需要食物。"
"early","早的；早地","We wake up early every morning.","我們每天早上很早就起床。"
"dirty","髒的","Your shirt is dirty; please wash it.","你的襯衫很髒，請去洗。"
"easy","容易的","This question is easy to answer.","這個問題很容易回答。"
"hard","艱難的；硬的","The test was hard for me.","對我來說，考試很艱難。"
"busy","忙碌的","Mom is busy cooking dinner.","媽媽正忙著做晚餐。"
"free","空閒的；免費的","This game is free to play.","這個遊戲可以免費玩。"
"need","需要","I need a pencil to write.","我需要一支鉛筆來寫字。"
"end","結束","The movie will end soon.","電影很快就要結束了。"
"cost","花費","How much does it cost?","這要花費多少錢？"
"buy","購買","I will buy a gift for my friend.","我會為我的朋友買一份禮物。"
"put","放置","Put your bag on the desk.","把你的書包放在桌上。"
"feed","餵養","Feed the cat every morning.","每天早上餵那隻貓。"
"hate","討厭","I hate doing chores on weekends.","我討厭週末做家務。"
"sell","賣","They sell fresh vegetables at the market.","他們在市場賣新鮮蔬菜。"
"also","也","I like ice cream, and I also like cake.","我喜歡冰淇淋，也喜歡蛋糕。"
"once","一次","I went there only once last year.","我去年只去過那裡一次。"
"twice","兩次","He has visited Japan twice.","他去過日本兩次。"
"of","…的","This is a photo of my family.","這是一張我家人的照片。"
"place","住處；地方","This park is a nice place to relax.","這個公園是個很棒的放鬆地方。"
"road","道路","The road to school is crowded in the morning.","早上上學的道路很擁擠。"
"temple","寺廟","We visit the temple during the festival.","我們在節日期間參觀寺廟。"
"museum","博物館","The museum has ancient artifacts.","博物館裡有古代文物。"
"hotel","旅館；飯店","We stay at a hotel near the beach.","我們住在海灘附近的飯店。"
"season","季節","Spring is my favorite season.","春天是我最喜歡的季節。"
"high","高的","That building is very high.","那棟建築物非常高。"
"autumn","秋季；秋天","Leaves change color in autumn.","葉子在秋天變色。"
"snow","雪；下雪","It may snow tomorrow.","明天可能會下雪。"
"snowman","雪人","We built a snowman in the yard.","我們在院子裡堆了雪人。"
"plan","計畫","I have a plan to study abroad next year.","我計畫明年出國留學。"
"date","日期","What is the date today?","今天的日期是什麼？"
"Father's Day","父親節","We give gifts on Father's Day.","我們在父親節送禮物。"
"USA","美國","He hopes to study in the USA.","他希望到美國念書。"
"photo","照片","She took a photo of the sunset.","她拍了一張日落的照片。"
"mind","心智；介意","Mind your manners at the dinner table.","在餐桌上要注意禮貌。"
"work","作品；工作","I finish my work before dinner.","我在晚餐前完成工作。"
"exercise","運動","We do exercise every morning.","我們每天早上做運動。"
"turtle","海龜","The turtle swims slowly in the pond.","海龜在池塘裡慢慢游泳。"
"practice","練習","Practice your piano every day.","每天練習彈鋼琴。"
"race","競賽","They will race in the school competition.","他們將參加學校的競賽。"
"team","隊","Our soccer team won the match.","我們的足球隊贏得了比賽。"
"problem","問題；毛病","I need help with this math problem.","我需要人幫我解這個數學問題。"
"toe","腳趾","I stubbed my toe on the chair.","我撞到椅子，腳趾很痛。"
"kind","種類","There are many kinds of flowers here.","這裡有很多種類的花。"
"violin","小提琴","She plays the violin beautifully.","她小提琴拉得很美。"
"flute","長笛；橫笛","He learns to play the flute at school.","他在學校學習吹長笛。"
"special","特別的","Today is a special day for us.","今天對我們來說是特別的一天。"
"afraid","害怕的","She is afraid of spiders.","她害怕蜘蛛。"
"same","相同的","We have the same shoes.","我們有相同的鞋子。"
"different","不同的","They like different kinds of music.","他們喜歡不同種類的音樂。"
"snowy","下雪的","It is snowy outside today.","今天外面正在下雪。"
"dry","乾的；弄乾","Hang your clothes to dry in the sun.","把衣服掛到太陽下曬乾。"
"wet","濕的","My shoes got wet in the rain.","我的鞋子在下雨時濕了。"
"popular","受歡迎的","That movie is very popular with students.","那部電影在學生間非常受歡迎。"
"dark","暗的","It gets dark early in winter.","冬天天黑得很早。"
"know","知道；認識","Do you know how to solve this?","你知道如何解決這個嗎？"
"keep","保持；一直","Please keep the room tidy.","請保持房間整潔。"
"join","參加；加入","I want to join the art club.","我想加入美術社團。"
"throw","丟","Throw the ball to me.","把球丟給我。"
"hit","打擊；成功而風行一時的事物","He can hit the baseball far.","他能把棒球打得很遠。"
"enjoy","享受；喜愛","Enjoy your meal!","好好享受你的餐點！"
"bow","鞠躬","The actor will bow to the audience.","演員會向觀眾鞠躬。"
"win","贏","I hope to win the game today.","我希望今天能贏得比賽。"
"learn","學習","I like to learn new things.","我喜歡學新東西。"
"climb","爬","We climbed to the top of the hill.","我們爬上了山頂。"
"hike","健行；大幅增長","We went for a hike in the mountains.","我們在山裡健行。"
"camp","露營","We went to summer camp.","我們去參加夏令營。"
"everyone","每一位","Everyone is welcome.","歡迎所有人。"
"together","一起","Let’s do it together.","我們一起做吧。"
"ago","以前","I met him two years ago.","我兩年前遇見他。"
"never","從不","He never eats vegetables.","他從不吃蔬菜。"
"always","總是","He always arrives on time.","他總是準時到達。"
"usually","通常","I usually wake up at 7 AM.","我通常早上7點起床。"
"sometimes","有時候","Sometimes I walk to school.","我有時候走路上學。"
"seldom","很少；不常","He seldom eats candy at night.","他晚上很少吃糖果。"
"was","是；在（am/is 的過去式）","She was happy yesterday.","她昨天很開心。"
"were","是；在（are 的過去式）","They were at school this morning.","他們今天早上在學校。"
"insect","昆蟲","A butterfly is a beautiful insect.","蝴蝶是一種美麗的昆蟲。"
"bat","蝙蝠；球棒","A bat flies at night.","蝙蝠在夜晚飛行。"
"butterfly","蝴蝶","A butterfly landed on the flower.","一隻蝴蝶停在花上。"
"spider","蜘蛛","A spider made a web in the corner.","蜘蛛在角落結了一張網。"
"whale","鯨魚","The whale swims in the ocean.","鯨魚在海裡游泳。"
"hill","小山丘","They climbed up the hill.","他們爬上了小山丘。"
"island","島嶼","They went to a tropical island.","他們去了熱帶島嶼。"
"present","禮物；現在；呈現","I gave her a birthday present.","我送她生日禮物。"
"junior high school","國中","He studies at a junior high school.","他在國中讀書。"
"course","課程","This is a beginner’s course.","這是一門初級課程。"
"art","藝術","I love modern art.","我喜歡現代藝術。"
"history","歷史","I like reading about history.","我喜歡讀歷史。"
"science","科學","Science class is interesting.","科學課很有趣。"
"lesson","課；教訓","I learned a lesson today.","我今天學到了一課。"
"subject","學科；科目","Math is my favorite subject.","數學是我最喜歡的科目。"
"test","測驗","We have a test on Friday.","我們星期五有一次測驗。"
"vacation","假期","Vacation starts next week.","假期下週開始。"
"holiday","假日","We rest at home on the holiday.","假日我們待在家裡休息。"
"Teacher's Day","教師節","We give cards on Teacher's Day.","我們在教師節送卡片。"
"festival","節日","The festival has many performances.","節日有許多表演。"
"Moon Festival","中秋節","We eat mooncakes on Moon Festival.","中秋節我們吃月餅。"
"half","一半；二分之一","Cut the sandwich in half.","把三明治切成一半。"
"quarter","四分之一；十五分鐘","School starts in a quarter hour.","學校在十五分鐘後開始。"
"noise","聲音；噪音","Turn down the noise, please.","請降低噪音。"
"show","表演；展現","We watch a show at the theater.","我們在劇院看表演。"
"start","開始","The race will start soon.","比賽很快就要開始。"
"stay","停留","Please stay here until I return.","請在這裡停留直到我回來。"
"Ms.","小姐","Ms. Chen is our new English teacher.","陳小姐是我們的新英語老師。"
"kid","小孩","The kids play in the park every day.","這些小孩每天在公園玩。"
"child","孩童","Every child needs a good education.","每個孩童都需要良好的教育。"
"boat","船","We ride a boat on the lake during summer.","夏天我們在湖上坐船。"
"floor","地板；層","The ball rolled across the floor.","球在地板上滾來滾去。"
"frisbee","飛盤","They throw a frisbee at the beach.","他們在海灘拋飛盤。"
"hurt","疼痛；受傷","Be careful or you might hurt yourself.","小心，不然你可能會受傷。"
"begin","開始","The movie will begin at six o’clock.","電影將在六點開始。"
"finish","完成；結束","I finish my homework before dinner.","我在晚餐前完成作業。"
"happen","發生","What will happen next?","接下來會發生什麼？"
"jog","慢跑","I jog in the park every morning.","我每天早上在公園慢跑。"
"hop","跳","The bunny can hop very fast.","那隻兔子能跳得很快。"
"teach","教導","She will teach us math tomorrow.","她明天要教我們數學。"
"important","重要的","It is important to finish your homework.","完成作業很重要。"
"health","健康","Good sleep is essential for your health.","良好的睡眠對你的健康很重要。"
"healthy","健康的","She eats healthy food every day.","她每天吃健康的食物。"
"weak","虛弱的","He felt weak after the long run.","長跑後他感到虛弱。"
"terrible","可怕的","That thunderstorm last night was terrible.","昨晚的雷雨非常可怕。"
"funny","有趣的","Her joke was very funny.","她的笑話非常有趣。"
"lot","很多","He has a lot of books in his room.","他房間裡有很多書。"
"already","已經","I already finished my lunch.","我已經吃完午餐了。"
"just","剛才；只","I just arrived at school.","我剛才到學校。"
"why","為什麼","Why are you so happy today?","你今天為什麼這麼高興？"
"couch","沙發","He sits on the couch to watch TV.","他坐在沙發上看電視。"
"give","給","Please give me the pencil.","請把鉛筆給我。"
"garden","花園","They grow roses in their garden.","他們在花園裡種玫瑰。"
"grass","草地","We lie on the grass to read books.","我們躺在草地上看書。"
"refrigerator","冰箱","Put the milk back in the refrigerator.","把牛奶放回冰箱。"
"police","警察","The police help keep the city safe.","警察幫助保持城市安全。"
"officer","官員","The officer gave us directions.","那位官員給了我們指引。"
"actress","女演員","The actress performed on stage.","那位女演員在舞臺上表演。"
"writer","作家","The writer is working on a new book.","那位作家正在寫新書。"
"reporter","記者","The reporter asked questions at the event.","記者在活動中提問。"
"fisherman","漁夫","The fisherman caught a big fish this morning.","漁夫今天早上捕到了一條大魚。"
"factory","工廠","The factory makes toys for children.","這家工廠為孩子們製造玩具。"
"again","再一次","Please say that again.","請再說一次。"
"mail","信件；郵寄","I need to mail this letter today.","我今天需要郵寄這封信。"
"mailman","郵差","The mailman delivers letters every morning.","郵差每天早上送信。"
"glove","手套","Wear gloves when it’s cold.","天冷時要戴手套。"
"ring","戒指","She wears a gold ring on her finger.","她手指上戴著一枚金戒指。"
"rope","繩索","Tie the box with a rope.","用繩索綁好那個箱子。"
"medicine","藥","Take your medicine after dinner.","晚餐後服用你的藥。"
"stomach","胃","My stomach hurts after eating too much.","吃太多後我的胃很疼。"
"fever","發燒","He has a fever and needs to rest.","他發燒了，需要休息。"
"throat","喉嚨","Her throat is sore from singing.","她因為唱歌喉嚨很痛。"
"sore","疼痛","My muscles are sore after exercise.","運動後我的肌肉很疼痛。"
"language","語言","Learning a new language is fun.","學習新語言很有趣。"
"band","樂團","The band plays music at the concert.","那個樂團在音樂會上演奏。"
"drum","鼓","He plays the drum in the school band.","他在學校樂團裡打鼓。"
"picnic","野餐","We have a picnic by the lake.","我們在湖邊野餐。"
"goat","山羊","The goat eats grass on the farm.","山羊在農場吃草。"
"rose","玫瑰","She smells the rose in the garden.","她聞了聞花園裡的玫瑰。"
"foreigner","外國人","A foreigner asked for directions.","一位外國人問路。"
"e-mail","電子郵件","I send an e-mail to my teacher.","我寄了一封電子郵件給我的老師。"
"honey","蜂蜜","We put honey on our toast.","我們在吐司上塗蜂蜜。"
"dear","親愛的","Dear friend, thank you for your help.","親愛的朋友，謝謝你的幫助。"
"common","共同的；普遍的","It is common to say hello in the morning.","早上打招呼是很普遍的。"
"little","小的；很少的","There is little water left in the bottle.","瓶子裡只剩下一點水。"
"straight","直的；直接地","Walk straight to reach the library.","直走就能到圖書館。"
"understand","了解","I understand the lesson well.","我很了解這課。"
"invite","邀請","I invite my friends to my birthday party.","我邀請朋友來參加我的生日派對。"
"visit","拜訪；參觀","We visit the museum on Saturday.","我們星期六去參觀博物館。"
"prepare","準備","Please prepare your workbook before class.","上課前請準備好你的作業本。"
"mop","拖(地)；拖把","She uses a mop to clean the floor.","她用拖把拖地。"
"send","寄","I send a letter to my grandmother.","我寄信給我的奶奶。"
"could","can的過去式","When I was young, I could run very fast.","我年輕時能跑得很快。"
"still","仍然","He is still sleeping at eight o’clock.","他在八點仍然在睡覺。"
"soon","很快地","Dinner will be ready soon.","晚餐很快就做好了。"
"me","我(受格)","Please give that book to me.","請把那本書給我。"
"him","他(受格)","I saw him at the park yesterday.","昨天我在公園看到他。"
"often","常常","We often play basketball after school.","放學後我們常常打籃球。"
"us","我們(受格)","They gave us new textbooks.","他們給我們新的課本。"
"them","他們(受格)","I invited them to dinner.","我邀請他們吃晚餐。"
"mine","我的…","This pencil is mine.","這支鉛筆是我的。"
"yours","你(們)的…","Is this pen yours?","這支筆是你（們）的嗎？"
"hers","她的…","That book is hers.","那本書是她的。"
"birthday","生日","My birthday is in July.","我的生日在七月。"
"ours","我們的…","This house is ours.","這間房子是我們的。"
"theirs","他們的…","Those shoes are theirs.","那些鞋子是他們的。"
"cap","帽子","He wears a cap when he plays baseball.","他打棒球時戴帽子。"
"jeans","牛仔褲","She wears jeans to school.","她穿牛仔褲上學。"
"sweater","毛衣","I put on a sweater because it is cold.","因為天冷我穿了毛衣。"
"American","美國人","My teacher is an American.","我的老師是一位美國人。"
"waiter","服務生","The waiter brings our food quickly.","服務生很快就把我們的食物端來。"
"clerk","店員","The clerk at the store is friendly.","店裡的店員很友善。"
"job","工作","My dad has a job at the bank.","我爸爸在銀行有份工作。"
"gray","灰色的","The sky is gray today.","今天的天空是灰色的。"
"purple","紫色的","She bought a purple backpack.","她買了一個紫色的書包。"
"airplane","飛機","The airplane flies above the clouds.","飛機飛在雲上。"
"motorcycle","機車","He rides his motorcycle to school.","他騎機車去學校。"
"street","街道","The street near my house is busy.","我家附近的街道很繁忙。"
"town","城鎮","Our town has a beautiful park.","我們的城鎮有一座漂亮的公園。"
"block","街區","The school is two blocks away.","學校在兩個街區外。"
"city","城市","New York City is very large.","紐約城市非常大。"
"corner","轉角；角落","Turn left at the corner.","在轉角處向左轉。"
"department store","百貨公司","We buy clothes at the department store.","我們在百貨公司買衣服。"
"theater","劇院","We watch plays at the theater.","我們在劇院看戲。"
"movie theater","電影院","They go to the movie theater on Friday.","他們星期五去電影院。"
"crazy","著迷的","He is crazy about basketball.","他對籃球很著迷。"
"shop","商店","We buy snacks at the shop.","我們在商店買零食。"
"flower shop","花店","She buys roses at the flower shop.","她在花店買玫瑰。"
"station","車站","We wait for the train at the station.","我們在車站等火車。"
"police station","警察局","The police station is near the park.","警察局在公園附近。"
"railway","鐵路","The train runs on the railway every hour.","火車每小時在鐵路上行駛。"
"turn","轉彎","Turn the wheel to the right.","把方向盤向右轉。"
"left","左方；向左方","Keep left on the road.","在道路上保持靠左。"
"right","右方；向右方","Turn right at the traffic light.","在紅綠燈處向右轉。"
"stamp","郵票","Put a stamp on the envelope.","在信封上貼郵票。"
"news","消息；新聞","He reads the news every morning.","他每天早上看新聞。"
"blanket","毯子","I cover myself with a blanket when it’s cold.","天冷時我用毯子蓋著自己。"
"change","零錢；改變","I need change to buy a snack.","我需要零錢買點心。"
"find","找到；找尋","Can you help me find my pencil?","你能幫我找到我的鉛筆嗎？"
"lose","弄丟；失去","Don't lose your ticket at the concert.","在演唱會上不要弄丟你的票。"
"stop","停止","Stop talking when the teacher enters.","老師進來時要停止講話。"
"arrive","到達","We arrive at school at eight o'clock.","我們八點到達學校。"
"bring","攜帶；帶來","Please bring your workbook tomorrow.","請明天帶上你的作業本。"
"spend","花（錢；時間）","I spend one hour on homework every day.","我每天花一小時做作業。"
"pay","付（錢）","You must pay for the bus ticket.","你必須付公車票錢。"
"up","向上","Look up at the sky to see the stars.","抬頭看天空中的星星。"
"agree","同意","I agree with your idea.","我同意你的想法。"
"garbage","垃圾","Please throw the garbage in the bin.","請把垃圾丟進垃圾桶。"
"forget","忘記","Don't forget to bring your hat.","別忘了帶你的帽子。"
"hear","聽","Can you hear the birds singing?","你能聽到鳥兒在唱歌嗎？"
"another","另一個的","I want another piece of cake.","我想要另一塊蛋糕。"
"delicious","美味的","The soup is very delicious.","這碗湯非常美味。"
"yummy","好吃的","Those cookies are so yummy!","那些餅乾好好吃！"
"difficult","困難的","This math problem is difficult.","這道數學題很困難。"
"as","作為；依照","She works as a volunteer on weekends.","她週末作為志工工作。"
"own","自己的","I have my own desk at home.","我在家裡有自己的書桌。"
"true","真實的","Is this story true?","這個故事是真的嗎？"
"sea","海","We swim in the sea during summer vacation.","暑假我們在海裡游泳。"
"welcome","歡迎","Welcome to our classroom!","歡迎來到我們的教室！"
"proud","驕傲的","I am proud of my little brother.","我為我的弟弟感到驕傲。"
"away","離…多遠","The school is two kilometers away.","學校離這裡兩公里遠。"
"will","將（助動詞）","I will help you with your homework.","我將幫你做作業。"
"camera","照相機","She uses a camera to take photos.","她用照相機拍照。"
"radio","廣播；收音機","He listens to the radio every morning.","他每天早上聽廣播。"
"machine","機器","The machine makes a loud noise.","那台機器發出很大的聲音。"
"tape","錄音帶","We play the tape in music class.","我們在音樂課播放錄音帶。"
"myself","我自己","I can do it myself.","我自己能做到。"
"yourself","你自己","Take care of yourself when you travel.","旅行時要照顧好你自己。"
"yourselves","你們自己","Be proud of yourselves!","為你們自己感到驕傲！"
"himself","他自己","He fixed the bike himself.","他自己修好了那輛自行車。"
"herself","她自己","She cooked dinner by herself.","她自己煮晚餐。"
"itself","它自己","The cat cleaned itself.","那隻貓自己清潔。"
"ourselves","我們自己","We built the treehouse ourselves.","我們自己搭建了樹屋。"
"themselves","他們自己","They painted the fence themselves.","他們自己粉刷了圍欄。"
"recorder","記錄器；錄音機","We listen to the recorder in music class.","我們在音樂課聽錄音機。"
"video","錄影帶","The teacher shows a video about history.","老師播放一段關於歷史的錄影帶。"
"price","價錢","What is the price of this book?","這本書的價錢是多少？"
"total","總計；全部的","The total cost is fifty dollars.","總計花費是五十元。"
"watermelon","西瓜","We eat watermelon in summer.","夏天我們吃西瓜。"
"papaya","木瓜","Papaya is sweet and delicious.","木瓜又甜又美味。"
"lemon","檸檬","Lemon juice is very sour.","檸檬汁非常酸。"
"guava","芭樂","Guava is green on the outside.","芭樂外皮是綠色的。"
"sir","先生（尊稱）","Excuse me, sir, where is the bus stop?","不好意思，先生，公車站在哪裡？"
"Dr.","博士；醫生","Dr. Lee helps patients feel better.","李醫生幫助病人感覺好一點。"
"neighbor","鄰居","My neighbor waters my plants when I'm away.","我不在時，我的鄰居會幫我澆花。"
"Easter","復活節","We hunt for eggs on Easter.","復活節我們去尋蛋。"
"basket","籃子","I carry apples in a basket to the picnic.","我用籃子把蘋果帶到野餐。"
"church","教堂","We go to church on Sunday morning.","我們星期天早上去教堂。"
"hunt","打獵","My grandfather used to hunt in the forest.","我爺爺以前在森林裡打獵。"
"roll","滾動；晃動","The ball will roll down the hill.","球會從小山滾下來。"
"hang","掛；懸吊","Please hang your coat on that hook.","請把外套掛在那個掛勾上。"
