英文,中文,英文例句,中文例句
data,資料,We need to collect more data.,我們需要收集更多資料。
information,資訊,Please provide more information.,請提供更多資訊。
communication,溝通,Good communication is essential.,良好的溝通是必要的。
email,電子郵件,Please send me an email.,請寄電子郵件給我。
phone,電話,Please call me tomorrow.,請明天打電話給我。
conference call,電話會議,We have a conference call at 3 PM.,我們下午3點有電話會議。
presentation,簡報,The presentation was very informative.,這個簡報很有資訊性。
training,培訓,New employees need training.,新員工需要培訓。
workshop,工作坊,We attended a workshop last week.,我們上週參加了一個工作坊。
seminar,研討會,The seminar was very useful.,這個研討會很有用。
conference,會議,The conference was well-organized.,這個會議組織得很好。
exhibition,展覽,We will attend the trade exhibition.,我們將參加貿易展覽。
trade show,商展,The trade show was very successful.,這個商展很成功。
networking,人脈建立,Networking is important for business.,人脈建立對商業很重要。
relationship,關係,We have a good relationship with clients.,我們與客戶有良好的關係。
partnership,合作關係,The partnership is mutually beneficial.,這個合作關係對雙方都有利。
collaboration,合作,Collaboration leads to better results.,合作帶來更好的結果。
cooperation,合作,Thank you for your cooperation.,謝謝你的合作。
support,支持,We appreciate your support.,我們感謝你的支持。
assistance,協助,Thank you for your assistance.,謝謝你的協助。
help,幫助,Can you help me with this project?,你能幫我處理這個專案嗎？
guidance,指導,Thank you for your guidance.,謝謝你的指導。
advice,建議,Your advice was very helpful.,你的建議很有幫助。
recommendation,推薦,Thank you for the recommendation.,謝謝你的推薦。
reference,推薦人,Please provide three references.,請提供三位推薦人。
endorsement,背書,The product received many endorsements.,這個產品獲得許多背書。
approval,批准,We need your approval for this project.,我們需要你批准這個專案。
permission,許可,Do you have permission to access this file?,你有權限存取這個檔案嗎？
authorization,授權,You need authorization to enter this area.,你需要授權才能進入這個區域。
license,執照,Do you have a business license?,你有營業執照嗎？
certificate,證書,Please show your certificate.,請出示你的證書。
document,文件,Please sign this document.,請簽署這份文件。
contract,合約,The contract is ready for signing.,合約準備好可以簽署了。
agreement,協議,We reached an agreement yesterday.,我們昨天達成協議。
terms,條款,Please review the terms and conditions.,請查看條款和條件。
conditions,條件,What are the conditions of the deal?,這筆交易的條件是什麼？
policy,政策,Please follow company policy.,請遵循公司政策。
procedure,程序,Follow the correct procedure.,遵循正確的程序。
process,流程,The process is very efficient.,這個流程很有效率。
system,系統,The new system is working well.,新系統運作良好。
technology,科技,Technology is advancing rapidly.,科技快速進步。
software,軟體,We need to update the software.,我們需要更新軟體。
hardware,硬體,The hardware needs maintenance.,硬體需要維護。
database,資料庫,The database contains important information.,資料庫包含重要資訊。
website,網站,Our website is user-friendly.,我們的網站對使用者友善。
online,線上,We do most of our business online.,我們大部分業務都在線上進行。
digital,數位的,We are moving to digital systems.,我們正在轉向數位系統。
automation,自動化,Automation improves efficiency.,自動化提高效率。
efficiency,效率,We need to improve efficiency.,我們需要提高效率。
productivity,生產力,Productivity has increased.,生產力提高了。
performance,表現,Performance has improved.,表現有所改善。
quality,品質,Quality is our priority.,品質是我們的重點。
standard,標準,We maintain high standards.,我們維持高標準。
compliance,合規,We ensure compliance with regulations.,我們確保符合法規。
regulation,法規,Please follow all regulations.,請遵循所有法規。
law,法律,We must comply with the law.,我們必須遵守法律。
legal,法律的,Please consult with legal department.,請諮詢法務部門。
liability,責任,What is our liability in this case?,我們在這個案例中的責任是什麼？
insurance,保險,We have comprehensive insurance.,我們有全面的保險。
security,安全,Security is very important.,安全非常重要。
privacy,隱私,We protect customer privacy.,我們保護客戶隱私。
confidential,機密的,This information is confidential.,這項資訊是機密的。
secret,秘密,Keep this information secret.,保持這項資訊的秘密。
public,公開的,This is public information.,這是公開資訊。
private,私人的,This is private information.,這是私人資訊。
internal,內部的,This is for internal use only.,這僅供內部使用。
external,外部的,We work with external consultants.,我們與外部顧問合作。
global,全球的,We have a global presence.,我們在全球都有據點。
international,國際的,We have international clients.,我們有國際客戶。
local,當地的,We support local businesses.,我們支持當地企業。
regional,區域的,We have regional offices.,我們有區域辦公室。
national,全國的,We have national coverage.,我們有全國覆蓋。
worldwide,全球的,We have worldwide operations.,我們有全球業務。
sales,銷售,Sales have increased this quarter.,本季銷售增加了。
marketing,行銷,Our marketing strategy is effective.,我們的行銷策略很有效。
advertising,廣告,We need to increase advertising.,我們需要增加廣告。
promotion,促銷,The promotion was successful.,促銷活動很成功。
brand,品牌,Our brand is well-known.,我們的品牌很有名。
branding,品牌建立,Branding is important for recognition.,品牌建立對認知度很重要。
logo,標誌,The logo represents our company.,標誌代表我們的公司。
slogan,標語,Our slogan is catchy.,我們的標語很吸引人。
campaign,活動,The marketing campaign launched yesterday.,行銷活動昨天啟動。
target audience,目標受眾,Who is our target audience?,我們的目標受眾是誰？
market research,市場研究,We need market research.,我們需要市場研究。
survey,調查,Please complete the survey.,請完成調查。
customer satisfaction,客戶滿意度,Customer satisfaction is high.,客戶滿意度很高。
loyalty,忠誠度,Customer loyalty is important.,客戶忠誠度很重要。
retention,留存,We need to improve customer retention.,我們需要提高客戶留存率。
acquisition,獲取,Customer acquisition is costly.,客戶獲取成本很高。
conversion,轉換,The conversion rate is low.,轉換率很低。
revenue,營收,Revenue has grown steadily.,營收穩定成長。
profit margin,利潤率,Our profit margin is healthy.,我們的利潤率很健康。
cost,成本,We need to reduce costs.,我們需要降低成本。
expense,支出,Travel expenses are reimbursable.,差旅支出可報銷。
budget,預算,We are over budget.,我們超過預算了。
forecast,預測,The sales forecast is positive.,銷售預測是正面的。
projection,預估,Financial projections look good.,財務預估看起來不錯。
audit,審計,The annual audit is next month.,年度審計在下個月。
accounting,會計,Accounting records must be accurate.,會計記錄必須準確。
finance,財務,The finance department is busy.,財務部門很忙。
investment,投資,This is a smart investment.,這是明智的投資。
asset,資產,This is a valuable asset.,這是有價值的資產。
liability,負債,We need to reduce liabilities.,我們需要減少負債。
equity,股權,Shareholder equity increased.,股東權益增加了。
debt,債務,The company has no debt.,公司沒有債務。
loan,貸款,We need a business loan.,我們需要商業貸款。
credit,信用,Our credit rating is excellent.,我們的信用評級很優秀。
interest,利息,Interest rates are low.,利率很低。
tax,稅,We need to pay taxes.,我們需要繳稅。
invoice,發票,Please send the invoice.,請寄發票。
receipt,收據,Keep the receipt for your records.,保留收據供記錄。
payment,付款,Payment is due on the 15th.,付款期限是15日。
billing,帳單,Billing is automated.,帳單是自動化的。
cash flow,現金流,Cash flow is positive.,現金流是正的。
capital,資本,We need more capital.,我們需要更多資本。
funding,資金,We secured funding for the project.,我們為專案獲得了資金。
grant,補助金,We received a government grant.,我們收到了政府補助金。
subsidy,補助,The subsidy helps small businesses.,補助金幫助小企業。
donation,捐款,The company made a donation.,公司捐款了。
sponsorship,贊助,We need sponsorship for the event.,我們需要活動贊助。
HR,人力資源,HR handles hiring.,人力資源負責招聘。
recruitment,招聘,Recruitment is ongoing.,招聘正在進行中。
hiring,僱用,We are hiring new staff.,我們正在招聘新員工。
firing,解僱,Firing must follow legal procedures.,解僱必須遵循法律程序。
resignation,辭職,She submitted her resignation.,她提交了辭職。
retirement,退休,He is planning retirement.,他計劃退休。
pension,退休金,The pension plan is generous.,退休金計畫很慷慨。
benefits,福利,Employee benefits include health insurance.,員工福利包括健康保險。
insurance,保險,We provide health insurance.,我們提供健康保險。
healthcare,醫療保健,Healthcare coverage is comprehensive.,醫療保健覆蓋很全面。
salary,薪資,Salaries are competitive.,薪資有競爭力。
wage,工資,Minimum wage increased.,最低工資提高了。
bonus,獎金,Performance bonuses are given annually.,績效獎金每年發放。
commission,佣金,Sales representatives earn commission.,銷售代表賺取佣金。
incentive,激勵,Incentives motivate employees.,激勵措施激勵員工。
promotion,晉升,She deserves a promotion.,她值得晉升。
demotion,降職,Demotion is rare.,降職很少見。
transfer,調動,He requested a transfer to another department.,他申請調到另一個部門。
relocation,搬遷,Relocation assistance is available.,搬遷協助可用。
training,培訓,Training is provided for new employees.,為新員工提供培訓。
development,發展,Professional development is encouraged.,鼓勵專業發展。
mentorship,指導,Mentorship programs help new employees.,指導計畫幫助新員工。
coaching,教練,Coaching improves performance.,教練提高表現。
performance review,績效考核,Performance reviews are annual.,績效考核每年進行。
evaluation,評估,Employee evaluation is fair.,員工評估是公平的。
feedback,回饋,Constructive feedback is important.,建設性回饋很重要。
motivation,動機,Motivation drives productivity.,動機驅動生產力。
engagement,投入,Employee engagement is high.,員工投入度高。
satisfaction,滿意度,Job satisfaction is important.,工作滿意度很重要。
morale,士氣,Team morale is strong.,團隊士氣強。
culture,文化,Company culture matters.,公司文化很重要。
diversity,多樣性,We value diversity.,我們重視多樣性。
inclusion,包容,Inclusion is our policy.,包容是我們的政策。
equality,平等,We promote equality.,我們促進平等。
discrimination,歧視,Discrimination is prohibited.,歧視被禁止。
harassment,騷擾,Harassment is not tolerated.,騷擾不被容忍。
workplace,工作場所,The workplace is safe.,工作場所是安全的。
environment,環境,Work environment is important.,工作環境很重要。
safety,安全,Safety regulations must be followed.,必須遵循安全法規。
health,健康,Employee health is a priority.,員工健康是優先事項。
wellness,健康,Wellness programs are available.,健康計畫可用。
work-life balance,工作生活平衡,Work-life balance is encouraged.,鼓勵工作生活平衡。
flexible hours,彈性工時,We offer flexible hours.,我們提供彈性工時。
remote work,遠距工作,Remote work is an option.,遠距工作是一個選項。
telecommuting,遠距辦公,Telecommuting saves time.,遠距辦公節省時間。
freelance,自由職業,We hire freelancers for specific projects.,我們為特定專案僱用自由職業者。
contractor,承包商,Contractors work on short-term projects.,承包商從事短期專案。
consultant,顧問,We hired a consultant for advice.,我們僱用顧問尋求建議。
outsource,外包,We outsource IT services.,我們外包IT服務。
offshore,海外,Offshore operations reduce costs.,海外運作降低成本。
insource,內包,We decided to insource this function.,我們決定將此功能內包。
vendor,供應商,We work with reliable vendors.,我們與可靠的供應商合作。
supplier,供應商,Suppliers must meet quality standards.,供應商必須符合品質標準。
procurement,採購,Procurement follows strict guidelines.,採購遵循嚴格指導方針。
supply chain,供應鏈,Supply chain management is crucial.,供應鏈管理至關重要。
logistics,物流,Logistics ensures timely delivery.,物流確保準時交付。
inventory,庫存,Inventory levels are monitored.,庫存水平受到監控。
warehouse,倉庫,The warehouse stores products.,倉庫儲存產品。
distribution,配送,Distribution networks are efficient.,配送網絡高效。
shipping,運輸,Shipping costs have increased.,運輸成本增加了。
delivery,配送,Delivery is on time.,配送準時。
export,出口,We export products to many countries.,我們向許多國家出口產品。
import,進口,We import raw materials.,我們進口原材料。
tariff,關稅,Tariffs affect pricing.,關稅影響定價。
customs,海關,Customs clearance takes time.,海關清關需要時間。
trade,貿易,International trade is growing.,國際貿易正在成長。
agreement,協議,The trade agreement was signed.,貿易協議已簽署。
treaty,條約,The treaty benefits both countries.,條約使兩國受益。
negotiation,談判,Negotiation skills are important.,談判技巧很重要。
diplomacy,外交,Business diplomacy is essential.,商業外交至關重要。
currency,貨幣,Currency fluctuations affect profits.,貨幣波動影響利潤。
exchange rate,匯率,The exchange rate is favorable.,匯率有利。
foreign exchange,外匯,We deal in foreign exchange.,我們從事外匯交易。
banking,銀行,We use international banking.,我們使用國際銀行服務。
finance,金融,International finance is complex.,國際金融很複雜。
economy,經濟,The global economy is recovering.,全球經濟正在復甦。
recession,衰退,The recession affected sales.,衰退影響了銷售。
inflation,通貨膨脹,Inflation increases costs.,通貨膨脹增加成本。
deflation,通貨緊縮,Deflation is rare.,通貨緊縮很少見。
GDP,國內生產總值,GDP growth is positive.,GDP成長是正面的。
market,市場,The market is volatile.,市場波動。
stock,股票,Stock prices rose today.,股票價格今天上漲。
share,股份,He owns shares in the company.,他擁有公司股份。
dividend,股利,Dividends are paid quarterly.,股利每季度支付。
portfolio,投資組合,The investment portfolio is diversified.,投資組合多樣化。
bond,債券,We invest in government bonds.,我們投資政府債券。
mutual fund,共同基金,Mutual funds are popular.,共同基金很受歡迎。
hedge fund,對沖基金,Hedge funds are risky.,對沖基金有風險。
venture capital,創投,Venture capital funded the startup.,創投資助了初創公司。
angel investor,天使投資人,Angel investors support new businesses.,天使投資人支持新企業。
startup,初創公司,The startup is growing fast.,初創公司快速成長。
entrepreneur,企業家,She is a successful entrepreneur.,她是成功的企业家。
innovation,創新,Innovation drives growth.,創新驅動成長。
disruption,顛覆,Technology disruption changes industries.,科技顛覆改變產業。
unicorn,獨角獸,The company became a unicorn.,這家公司成為獨角獸。
IPO,首次公開募股,The IPO was successful.,首次公開募股很成功。
public company,上市公司,We are a public company.,我們是上市公司。
private company,私人公司,It's a private company.,這是一家私人公司。
subsidiary,子公司,The subsidiary operates independently.,子公司獨立運作。
parent company,母公司,The parent company owns the subsidiary.,母公司擁有子公司。
headquarters,總部,Headquarters is in New York.,總部在紐約。
branch,分部,We have branches worldwide.,我們在全球有分部。
franchise,加盟,Franchise opportunities are available.,加盟機會可用。
license,許可,We license our technology.,我們許可我們的技術。
patent,專利,The patent protects our invention.,專利保護我們的發明。
trademark,商標,The trademark is registered.,商標已註冊。
copyright,版權,Copyright protects our content.,版權保護我們的內容。
intellectual property,智慧財產權,We protect our intellectual property.,我們保護我們的智慧財產權。
trade secret,商業秘密,This is a trade secret.,這是商業秘密。
confidentiality,保密,Confidentiality agreements are signed.,保密協議已簽署。
non-disclosure,保密,NDA is required.,需要保密協議。
NDA,保密協議,Please sign the NDA.,請簽署保密協議。
contract,合約,The contract is binding.,合約具有約束力。
agreement,協議,The agreement is clear.,協議很清楚。
terms,條款,Read the terms carefully.,仔細閱讀條款。
conditions,條件,Conditions are acceptable.,條件可接受。
clause,條款,The clause is important.,這個條款很重要。
amendment,修正案,The amendment was approved.,修正案獲批准。
renewal,續約,Contract renewal is automatic.,合約續約是自動的。
termination,終止,Contract termination requires notice.,合約終止需要通知。
breach,違約,Breach of contract is serious.,違約很嚴重。
dispute,爭議,We resolved the dispute amicably.,我們友好解決了爭議。
litigation,訴訟,Litigation is expensive.,訴訟很昂貴。
lawsuit,訴訟,The lawsuit was settled.,訴訟已和解。
court,法院,The case went to court.,案件上了法院。
judge,法官,The judge made a ruling.,法官做出了裁決。
verdict,判決,The verdict was in our favor.,判決有利於我們。
settlement,和解,We reached a settlement.,我們達成和解。
arbitration,仲裁,Arbitration is faster than litigation.,仲裁比訴訟更快。
mediation,調解,Mediation helped resolve the conflict.,調解幫助解決了衝突。
compliance,合規,Compliance is mandatory.,合規是強制性的。
regulation,法規,Regulations change frequently.,法規經常變化。
authority,主管機關,The authority monitors compliance.,主管機關監控合規。
license,執照,The business license is valid.,營業執照有效。
permit,許可,We need a building permit.,我們需要建築許可。
inspection,檢查,The inspection is scheduled for tomorrow.,檢查安排在明天。
audit,審計,The audit found no issues.,審計沒有發現問題。
review,審查,The review is thorough.,審查很徹底。
monitor,監控,We monitor performance continuously.,我們持續監控表現。
control,控制,Quality control is strict.,品質控制嚴格。
assurance,保證,Quality assurance is important.,品質保證很重要。
standard,標準,We follow international standards.,我們遵循國際標準。
certification,認證,ISO certification is required.,需要ISO認證。
accreditation,認可,The accreditation is valid.,認證有效。
accreditation,認可,The organization has accreditation.,該組織有認證。
benchmark,基準,Benchmarking helps improve performance.,基準測試幫助提高表現。
best practice,最佳實務,We follow best practices.,我們遵循最佳實務。
guideline,指導方針,Follow the guidelines.,遵循指導方針。
protocol,協議,The protocol is standard.,協議是標準的。
procedure,程序,Procedures are documented.,程序有記錄。
process,流程,The process is streamlined.,流程已簡化。
workflow,工作流程,Workflow automation saves time.,工作流程自動化節省時間。
system,系統,The system is integrated.,系統已整合。
platform,平台,The platform is user-friendly.,平台對使用者友善。
software,軟體,We use custom software.,我們使用自訂軟體。
application,應用程式,The application is mobile-friendly.,應用程式對手機友善。
app,應用程式,Download the app.,下載應用程式。
cloud,雲端,We use cloud computing.,我們使用雲端運算。
server,伺服器,The server is secure.,伺服器是安全的。
network,網路,The network is fast.,網路很快。
data,資料,Data is encrypted.,資料已加密。
security,安全,Cybersecurity is a priority.,網路安全是優先事項。
privacy,隱私,Privacy is protected.,隱私受到保護。
protection,保護,We need data protection.,我們需要資料保護。
backup,備份,Regular backups are essential.,定期備份至關重要。
recovery,恢復,Disaster recovery is planned.,災難恢復已計畫。
maintenance,維護,System maintenance is scheduled.,系統維護已安排。
support,支援,Technical support is available.,技術支援可用。
help desk,服務台,Contact the help desk for assistance.,聯繫服務台尋求協助。
service level,服務水準,Service level agreements are met.,服務水準協議已達成。
SLA,服務水準協議,The SLA guarantees uptime.,服務水準協議保證運行時間。
uptime,運行時間,System uptime is 99.9%.,系統運行時間是99.9%。
downtime,停機時間,Downtime is minimized.,停機時間最小化。
performance,效能,Performance is monitored.,效能受到監控。
scalability,可擴展性,The system has good scalability.,系統有良好的可擴展性。
flexibility,靈活性,Flexibility is important.,靈活性很重要。
adaptability,適應性,Adaptability to change is crucial.,適應變化至關重要。
agility,敏捷性,Agility helps us respond quickly.,敏捷性幫助我們快速回應。
resilience,韌性,The team shows great resilience.,團隊展現出極大的韌性。
sustainability,永續性,Sustainability is our goal.,永續性是我們的目標。
responsibility,責任,Corporate responsibility is important.,企業責任很重要。
ethics,倫理,Business ethics guide our decisions.,商業倫理指導我們的決策。
integrity,誠信,Integrity is valued.,誠信受到重視。
transparency,透明度,Transparency builds trust.,透明度建立信任。
accountability,問責制,Accountability is expected.,問責制是預期的。
governance,治理,Corporate governance is strong.,企業治理強。
leadership,領導,Leadership inspires the team.,領導激勵團隊。
management,管理,Effective management is key.,有效管理是關鍵。
strategy,策略,Strategy guides our actions.,策略指導我們的行動。
vision,願景,Our vision is clear.,我們的願景很清楚。
mission,使命,Our mission drives us.,我們的使命驅動我們。
values,價值觀,Our values define us.,我們的價值觀定義我們。
culture,文化,Culture shapes behavior.,文化塑造行為。
change,變革,Change is constant.,變革是常態。
transformation,轉型,Digital transformation is underway.,數位轉型正在進行。
innovation,創新,Innovation creates opportunities.,創新創造機會。
creativity,創造力,Creativity solves problems.,創造力解決問題。
collaboration,合作,Collaboration improves results.,合作改善結果。
teamwork,團隊合作,Teamwork is essential.,團隊合作至關重要。
communication,溝通,Clear communication prevents misunderstandings.,清晰的溝通防止誤解。
presentation,簡報,The presentation was persuasive.,簡報很有說服力。
public speaking,公開演說,Public speaking is a valuable skill.,公開演說是有價值的技能。
negotiation,談判,Negotiation requires patience.,談判需要耐心。
persuasion,說服,Persuasion is an art.,說服是一門藝術。
influence,影響力,Influence comes from trust.,影響力來自信任。
networking,人脈,Networking opens doors.,人脈打開機會之門。
relationship,關係,Business relationships are valuable.,商業關係很有價值。
trust,信任,Trust takes time to build.,信任需要時間建立。
reputation,聲譽,Reputation is hard to earn but easy to lose.,聲譽難以獲得但容易失去。
brand,品牌,Brand reputation matters.,品牌聲譽很重要。
image,形象,Corporate image is important.,企業形象很重要。
identity,身分,Brand identity is unique.,品牌身分是獨特的。
positioning,定位,Market positioning is strategic.,市場定位是策略性的。
differentiation,差異化,Differentiation sets us apart.,差異化使我們與眾不同。
competitive advantage,競爭優勢,Innovation gives us competitive advantage.,創新給我們競爭優勢。
market share,市場份額,We increased our market share.,我們增加了市場份額。
growth,成長,Sustainable growth is our goal.,永續成長是我們的目標。
expansion,擴張,Expansion into new markets is planned.,計劃擴張到新市場。
diversification,多角化,Diversification reduces risk.,多角化降低風險。
consolidation,整合,Industry consolidation is happening.,產業整合正在發生。
merger,合併,The merger created synergies.,合併創造了協同效應。
acquisition,收購,Acquisitions accelerate growth.,收購加速成長。
joint venture,合資,The joint venture is successful.,合資很成功。
strategic alliance,策略聯盟,Strategic alliances strengthen position.,策略聯盟強化地位。
partnership,合作關係,Partnerships create value.,合作關係創造價值。
collaboration,合作,Cross-industry collaboration is beneficial.,跨產業合作有益。
ecosystem,生態系,The business ecosystem is evolving.,商業生態系正在演變。
ecosystem,生態系,We are part of a larger ecosystem.,我們是更大生態系的一部分。
community,社群,We engage with the community.,我們與社群互動。
social responsibility,社會責任,Social responsibility is important.,社會責任很重要。
CSR,企業社會責任,CSR initiatives are well-received.,企業社會責任倡議受到好評。
sustainability,永續性,Environmental sustainability is a priority.,環境永續性是優先事項。
green,綠色,Green business practices are adopted.,採用綠色商業實務。
renewable,可再生,We use renewable energy.,我們使用可再生能源。
carbon footprint,碳足跡,We reduced our carbon footprint.,我們減少了碳足跡。
recycling,回收,Recycling is encouraged.,鼓勵回收。
waste reduction,減少廢物,Waste reduction saves money.,減少廢物節省金錢。
energy efficiency,能源效率,Energy efficiency reduces costs.,能源效率降低成本。
water conservation,節水,Water conservation is important.,節水很重要。
biodiversity,生物多樣性,We protect biodiversity.,我們保護生物多樣性。
climate change,氣候變遷,Climate change affects business.,氣候變遷影響商業。
adaptation,適應,Adaptation to climate change is necessary.,適應氣候變遷是必要的。
resilience,韌性,Climate resilience is important.,氣候韌性很重要。
disaster,災難,Disaster preparedness is essential.,災難準備至關重要。
emergency,緊急情況,Emergency procedures are in place.,緊急程序已就位。
crisis,危機,Crisis management is critical.,危機管理至關重要。
contingency,應變,Contingency plans are ready.,應變計畫已準備好。
risk management,風險管理,Risk management identifies threats.,風險管理識別威脅。
mitigation,緩解,Risk mitigation reduces impact.,風險緩解降低影響。
insurance,保險,Insurance covers risks.,保險覆蓋風險。
protection,保護,Asset protection is important.,資產保護很重要。
security,安全,Physical security is maintained.,物理安全得到維護。
safety,安全,Employee safety is paramount.,員工安全至高無上。
health,健康,Occupational health is monitored.,職業健康受到監控。
well-being,福祉,Employee well-being is prioritized.,員工福祉被優先考慮。
work environment,工作環境,The work environment is positive.,工作環境是正面的。
office,辦公室,The office is modern.,辦公室很現代。
workspace,工作空間,Workspace design affects productivity.,工作空間設計影響生產力。
remote,遠距,Remote work is here to stay.,遠距工作將持續存在。
hybrid,混合,Hybrid work models are popular.,混合工作模式很受歡迎。
flexible,彈性,Flexible arrangements benefit employees.,彈性安排有益員工。
schedule,時間表,Work schedules are flexible.,工作時間表是彈性的。
hours,工時,Working hours are reasonable.,工作時間合理。
overtime,加班,Overtime is compensated.,加班有補償。
leave,請假,Leave policies are generous.,請假政策很寬鬆。
holiday,假日,Public holidays are observed.,公共假日被遵守。
vacation,假期,Vacation days are accrued.,假期天數累積。
sick day,病假,Sick days are available.,病假可用。
personal day,個人假,Personal days are allowed.,允許個人假。
parental leave,育嬰假,Parental leave is supported.,支持育嬰假。
maternity leave,產假,Maternity leave is 12 weeks.,產假是12週。
paternity leave,陪產假,Paternity leave is available.,陪產假可用。
family leave,家庭假,Family leave is for emergencies.,家庭假用於緊急情況。
bereavement leave,喪假,Bereavement leave is provided.,提供喪假。
unpaid leave,無薪假,Unpaid leave can be requested.,可申請無薪假。
sabbatical,休假年,Sabbatical is for long-term employees.,休假年適合長期員工。
career break,職業中斷,Career breaks are possible.,職業中斷是可能的。
retirement,退休,Retirement planning is offered.,提供退休規劃。
pension,退休金,Pension contributions are made.,退休金繳納已進行。
401k,退休儲蓄,401k contributions are matched.,401k繳納有配合。
