english,chinese,example_en,example_ch
scoreboard,計分板,Look at the scoreboard.,看計分板。
timer,計時器,The timer showed 10 seconds.,計時器顯示10秒。
whistle,哨子,The referee blew the whistle.,裁判吹了哨子。
flag,旗幟,The linesman raised his flag.,線審舉起了旗幟。
cheer,歡呼,The crowd began to cheer.,群眾開始歡呼。
victory,勝利,Victory tastes sweet.,勝利滋味甜美。
defeat,失敗,Learn from defeat.,從失敗中學習。
effort,努力,Your effort will pay off.,你的努力會有回報。
determination,決心,Success requires determination.,成功需要決心。
courage,勇氣,It takes courage to compete.,競賽需要勇氣。
spirit,精神,Team spirit is important.,團隊精神很重要。
passion,熱情,He plays with great passion.,他充滿熱情地比賽。
enthusiasm,熱心,Her enthusiasm is contagious.,她的熱情很有感染力。
inspiration,靈感,Athletes inspire others.,運動員激勵他人。
role,角色,He is a role model for kids.,他是孩子的榜樣。
model,模範,Be a good sports model.,做個好的運動模範。
hero,英雄,He is a sports hero.,他是運動英雄。
legend,傳奇,Michael Jordan is a basketball legend.,麥可喬丹是籃球傳奇。
professional,專業的,She is a professional athlete.,她是職業運動員。
amateur,業餘的,He started as an amateur player.,他從業餘選手開始。
career,生涯,His sports career was successful.,他的運動生涯很成功。
retire,退休,He will retire next year.,他明年將退休。
future,未來,The future looks bright.,未來看起來很光明。
dream,夢想,His dream is to win the Olympics.,他的夢想是贏得奧運。
athlete,運動員,The athlete trains daily.,運動員每天訓練。
sportsmanship,運動家精神,Good sportsmanship is important.,良好的運動家精神很重要。
fairness,公平,Play with fairness.,公平地比賽。
respect,尊重,Respect your opponents.,尊重你的對手。
honesty,誠實,Honesty in sports is essential.,運動中的誠實是必要的。
integrity,正直,Maintain integrity in competition.,在競賽中保持正直。
discipline,紀律,Athletes need discipline.,運動員需要紀律。
dedication,奉獻,His dedication to training is impressive.,他對訓練的奉獻令人印象深刻。
commitment,承諾,Commitment leads to success.,承諾導向成功。
perseverance,毅力,Perseverance overcomes obstacles.,毅力克服障礙。
resilience,韌性,Resilience helps you bounce back.,韌性幫助你恢復。
motivation,動機,Find motivation in your goals.,在目標中找到動機.
focus,專注,Stay focused during the game.,比賽中保持專注。
concentration,集中注意力,Concentration improves performance.,集中注意力改善表現。
coordination,協調,Hand-eye coordination is crucial.,手眼協調至關重要。
reflex,反應,Quick reflexes help in sports.,快速反應在運動中有幫助。
reaction,反應,His reaction time is fast.,他的反應時間很快。
accuracy,精準度,Aim for accuracy in your shots.,射擊時追求精準度。
precision,精確,The gymnast showed great precision.,體操選手展現了極大的精確度。
control,控制,Control your movements.,控制你的動作。
power,力量,Power lifting requires strength.,舉重需要力量。
explosive,爆發性的,Explosive movements are key in sprinting.,爆發性動作是短跑的關鍵。
stamina,耐力,Long-distance running requires stamina.,長跑需要耐力。
cardio,心肺訓練,Cardio exercises improve heart health.,心肺訓練改善心臟健康。
aerobic,有氧的,Aerobic exercise burns calories.,有氧運動燃燒卡路里。
anaerobic,無氧的,Sprinting is anaerobic exercise.,短跑是無氧運動。
interval,間隔,Interval training improves speed.,間隔訓練提高速度。
repetition,重複,Do repetitions of the exercise.,重複做這個運動。
set,組,Complete three sets of ten reps.,完成三組十次重複。
warm-up,熱身,Always warm up before exercise.,運動前總是要熱身。
cool-down,放鬆,Cool down after your workout.,運動後放鬆。
stretch,伸展,Stretch your muscles before running.,跑步前伸展肌肉。
flex,彎曲,Flex your muscles.,彎曲你的肌肉。
relax,放鬆,Relax your shoulders.,放鬆你的肩膀。
breathe,呼吸,Breathe deeply during exercise.,運動時深呼吸。
inhale,吸入,Inhale through your nose.,用鼻子吸入。
exhale,呼出,Exhale through your mouth.,用嘴呼出。
pulse,脈搏,Check your pulse after running.,跑步後檢查脈搏。
heart,心臟,Your heart rate increases during exercise.,運動時心率增加。
lung,肺,Swimming strengthens your lungs.,游泳強化你的肺部。
blood,血液,Exercise improves blood circulation.,運動改善血液循環。
oxygen,氧氣,Your muscles need oxygen during exercise.,運動時肌肉需要氧氣.
sweat,汗水,Sweat cools your body.,汗水冷卻你的身體。
hydrate,補水,Drink water to stay hydrated.,喝水保持水分。
nutrition,營養,Good nutrition supports athletic performance.,良好的營養支持運動表現。
diet,飲食,A balanced diet is important.,均衡飲食很重要。
protein,蛋白質,Eat protein for muscle growth.,吃蛋白質促進肌肉生長。
carbohydrate,碳水化合物,Carbohydrates provide energy.,碳水化合物提供能量。
vitamin,維生素,Vitamins are essential for health.,維生素對健康至關重要。
mineral,礦物質,Minerals support bone health.,礦物質支持骨骼健康.
supplement,補充品,Some athletes take supplements.,有些運動員服用補充品。
energy,能量,Energy drinks can boost performance.,能量飲料可以提升表現。
fatigue,疲勞,Rest when you feel fatigue.,感到疲勞時休息。
recovery,恢復,Recovery is as important as training.,恢復和訓練一樣重要。
rest,休息,Get enough rest between workouts.,運動之間獲得足夠休息。
sleep,睡眠,Sleep is crucial for recovery.,睡眠對恢復至關重要。
nap,小睡,A short nap can refresh you.,短暫小睡可以讓你恢復精神。
schedule,時間表,Follow a consistent training schedule.,遵循一致的訓練時間表。
routine,例行公事,Establish a daily exercise routine.,建立日常運動例行公事。
habit,習慣,Exercise should be a habit.,運動應該成為習慣。
lifestyle,生活方式,Healthy lifestyle includes exercise.,健康生活方式包括運動。
wellness,健康,Wellness programs promote health.,健康計畫促進健康。
fitness,健身,Join a fitness club.,加入健身俱樂部。
gym,健身房,The gym has modern equipment.,健身房有現代化設備。
weight,重量,Lift weights to build muscle.,舉重建立肌肉。
dumbbell,啞鈴,Use dumbbells for arm exercises.,用啞鈴做手臂運動。
barbell,槓鈴,The barbell weighs 20 kilograms.,槓鈴重20公斤。
machine,機器,Use the leg press machine.,使用腿部推舉機。
treadmill,跑步機,Run on the treadmill for cardio.,在跑步機上跑步做心肺訓練。
elliptical,橢圓機,The elliptical is low-impact.,橢圓機低衝擊。
bike,自行車,Ride a stationary bike.,騎固定式自行車。
rowing,划船,Rowing works your whole body.,划鍛煉全身。
crunch,捲腹,Do crunches for abdominal muscles.,做捲腹鍛煉腹肌。
push-up,伏地挺身,Push-ups strengthen your chest.,伏地挺身強化胸部。
pull-up,引體向上,Pull-ups build back muscles.,引體向上建立背部肌肉。
squat,深蹲,Squats strengthen your legs.,深蹲強化腿部。
lunge,弓步,Lunges improve balance.,弓步改善平衡。
plank,平板支撐,Planks strengthen your core.,平板支撐強化核心。
burpee,波比跳,Burpees are intense exercises.,波比跳是高強度運動.
jumping jack,開合跳,Jumping jacks warm you up.,開合跳讓你熱身。
sit-up,仰臥起坐,Sit-ups work your abs.,仰臥起坐鍛煉腹肌.
leg lift,抬腿,Leg lifts strengthen your lower abs.,抬腿強化下腹部。
tricep,三頭肌,Tricep dips tone your arms.,三頭肌伸展鍛煉手臂。
bicep,二頭肌,Curl weights for biceps.,捲舉鍛煉二頭肌。
shoulder,肩膀,Shoulder presses build strength.,肩部推舉建立力量。
back,背部,Back exercises improve posture.,背部運動改善姿勢。
chest,胸部,Chest exercises build pectorals.,胸部運動建立胸肌。
abdominal,腹部的,Abdominal exercises strengthen your core.,腹部運動強化核心。
glute,臀部,Glute exercises tone your buttocks.,臀部運動鍛煉臀部。
thigh,大腿,Thigh exercises strengthen legs.,大腿運動強化腿部。
calf,小腿,Calf raises strengthen lower legs.,小腿提踵強化小腿。
ankle,腳踝,Ankle exercises prevent injury.,腳踝運動預防受傷。
wrist,手腕,Wrist strength helps in tennis.,手腕力量在網球中有幫助。
elbow,手肘,Protect your elbow during pitching.,投球時保護手肘。
knee,膝蓋,Knee exercises prevent injury.,膝蓋運動預防受傷。
hip,臀部,Hip flexibility is important for runners.,臀部柔軟度對跑步者很重要。
spine,脊柱,Keep your spine straight during squats.,深蹲時保持脊柱挺直。
posture,姿勢,Good posture prevents back pain.,良好姿勢預防背痛。
alignment,對齊,Proper alignment prevents injury.,正確對齊預防受傷。
form,形式,Maintain proper form during exercises.,運動時保持正確形式。
technique,技巧,Learn proper technique to avoid injury.,學習正確技巧避免受傷。
progress,進步,Track your progress over time.,隨時間追蹤你的進步。
improvement,改善,Consistent training leads to improvement.,持續訓練導致改善。
goal,目標,Set realistic fitness goals.,設定實際的健身目標。
achievement,成就,Celebrate your achievements.,慶祝你的成就。
milestone,里程碑,Reaching milestones motivates you.,達到里程碑激勵你。
challenge,挑戰,Embrace new fitness challenges.,擁抱新的健身挑戰。
obstacle,障礙,Overcome obstacles in your training.,克服訓練中的障礙。
barrier,障礙,Break through your barriers.,突破你的障礙。
limit,限制,Push your limits safely.,安全地推動你的限制。
potential,潛力,Unlock your athletic potential.,釋放你的運動潛力。
ability,能力,Improve your athletic abilities.,改善你的運動能力。
talent,天賦,Talent alone is not enough.,僅有天賦是不夠的。
skill,技能,Develop your sports skills.,發展你的運動技能。
knowledge,知識,Learn about sports science.,學習運動科學。
education,教育,Physical education is important.,體育教育很重要。
school,學校,Many schools have sports programs.,許多學校有運動計畫。
college,大學,College sports are competitive.,大學運動很有競爭性。
university,大學,University athletes train hard.,大學運動員努力訓練。
scholarship,獎學金,He received a sports scholarship.,他獲得了運動獎學金。
recruit,招募,Colleges recruit talented athletes.,大學招募有才華的運動員。
scout,球探,The scout watched him play.,球探看他比賽。
contract,合約,He signed a professional contract.,他簽了職業合約。
salary,薪水,Professional athletes earn high salaries.,職業運動員賺高薪。
sponsor,贊助商,The company sponsors the team.,公司贊助球隊。
endorsement,代言,He has many endorsement deals.,他有很多代言合約。
brand,品牌,Many athletes promote brands.,許多運動員推廣品牌。
commercial,廣告,He appeared in a commercial.,他出現在廣告中。
media,媒體,Media coverage of sports is huge.,運動的媒體覆蓋面很大。
interview,訪問,The athlete gave an interview.,運動員接受了訪問。
press,新聞,The press covered the event.,新聞報導了這個活動。
public,公眾,Athletes are public figures.,運動員是公眾人物。
celebrity,名人,Some athletes become celebrities.,有些運動員成為名人。
fame,名聲,Fame comes with success.,名聲伴隨成功。
pressure,壓力,Handle pressure during competition.,比賽時處理壓力。
stress,壓力,Exercise reduces stress.,運動減少壓力。
anxiety,焦慮,Sports can help manage anxiety.,運動可以幫助管理焦慮。
depression,憂鬱,Exercise fights depression.,運動對抗憂鬱。
mental,心理的,Mental health is important.,心理健康很重要。
physical,身體的,Physical fitness improves mental health.,身體健康改善心理健康。
emotional,情緒的,Sports build emotional strength.,運動建立情緒力量。
social,社交的,Team sports are social activities.,團隊運動是社交活動。
community,社區,Sports bring communities together.,運動將社區凝聚在一起。
culture,文化,Sports culture varies by country.,運動文化因國家而異。
tradition,傳統,The Olympics is a proud tradition.,奧運是自豪的傳統。
history,歷史,Learn about sports history.,學習運動歷史。
Olympics,奧運,The Olympics happen every four years.,奧運每四年舉辦一次。
medal,獎牌,Winning an Olympic medal is prestigious.,贏得奧運獎牌是榮譽。
gold,金牌,The gold medal represents first place.,金牌代表第一名。
silver,銀牌,The silver medal represents second place.,銀牌代表第二名。
bronze,銅牌,The bronze medal represents third place.,銅牌代表第三名。
podium,頒獎台,Standing on the podium is emotional.,站在頒獎台上很感動。
anthem,國歌,They played the national anthem.,他們演奏了國歌。
flag,旗幟,The flag was raised during the ceremony.,典禮期間升起了旗幟。
ceremony,典禮,The opening ceremony was spectacular.,開幕典禮很壯觀。
event,項目,Track and field is an Olympic event.,田徑是奧運項目。
participate,參與,Athletes from many countries participate.,來自許多國家的運動員參與。
compete,競爭,They compete for gold medals.,他們競爭金牌。
represent,代表,He represents his country.,他代表他的國家。
nation,國家,The whole nation watched the game.,全國觀看這場比賽。
pride,自豪,He felt pride in his achievement.,他對自己的成就感到自豪。
honor,榮幸,It is an honor to compete.,能參賽是榮幸。
glory,榮耀,They sought glory on the field.,他們在球場上尋求榮耀。
triumph,勝利,The team celebrated their triumph.,球隊慶祝他們的勝利。
success,成功,Hard work leads to success.,努力工作導向成功。
failure,失敗,Failure is part of learning.,失敗是學習的一部分。
lesson,教訓,Learn from every lesson.,從每個教訓中學習。
experience,經驗,Experience makes you better.,經驗讓你變得更好。
wisdom,智慧,Experience brings wisdom.,經驗帶來智慧。
journey,旅程,The athletic journey is long.,運動旅程很長。
path,道路,Choose your path wisely.,明智地選擇你的道路。
destination,目的地,Keep your destination in mind.,記住你的目的地。
