英文,中文,英文例句,中文例句
green,綠色,The grass is green.,草是綠色的。
yellow,黃色,The sun is yellow.,太陽是黃色的。
white,白色,The snow is white.,雪是白色的。
black,黑色,I have a black cat.,我有一隻黑貓。
one,一,I have one brother.,我有一個兄弟。
two,二,She has two dogs.,她有兩隻狗。
three,三,There are three books on the table.,桌上有三本書。
four,四,My family has four members.,我家有四個成員。
five,五,I wake up at five o'clock.,我五點起床。
ten,十,There are ten students in the class.,班上有十個學生。
hundred,百,The book costs hundred dollars.,這本書一百元。
thousand,千,There are thousand people here.,這裡有一千人。
eye,眼睛,She has beautiful eyes.,她有美麗的眼睛。
ear,耳朵,I can hear with my ears.,我可以用耳朵聽。
nose,鼻子,My nose is running.,我的鼻子在流鼻涕。
mouth,嘴巴,Please open your mouth.,請張開嘴巴。
hand,手,Wash your hands before eating.,吃飯前洗手。
foot,腳,My foot hurts.,我的腳痛。
hair,頭髮,She has long hair.,她有長頭髮。
face,臉,He has a round face.,他有圓臉。
shirt,襯衫,I wear a white shirt.,我穿白襯衫。
pants,褲子,These pants are too long.,這些褲子太長了。
shoes,鞋子,I need new shoes.,我需要新鞋子。
hat,帽子,He wears a hat in summer.,他夏天戴帽子。
coat,外套,Put on your coat, it's cold.,穿上外套，天氣很冷。
dress,裙子,She wears a beautiful dress.,她穿著美麗的裙子。
socks,襪子,I need clean socks.,我需要乾淨的襪子。
cat,貓,The cat is sleeping.,貓在睡覺。
dog,狗,My dog is very friendly.,我的狗很友善。
bird,鳥,The bird is flying.,鳥在飛。
fish,魚,I keep fish as pets.,我養魚當寵物。
rabbit,兔子,The rabbit has long ears.,兔子有長耳朵。
pig,豬,Pigs like to eat.,豬喜歡吃。
cow,牛,Cows give us milk.,牛給我們牛奶。
horse,馬,I like to ride horses.,我喜歡騎馬。
sheep,羊,Sheep eat grass.,羊吃草。
chicken,雞,Chickens lay eggs.,雞會下蛋。
police,警察,The police helped me.,警察幫了我。
firefighter,消防員,Firefighters save lives.,消防員拯救生命。
driver,司機,The bus driver is kind.,公車司機很親切。
cook,廚師,The cook makes delicious food.,廚師做美味的食物。
farmer,農夫,Farmers grow crops.,農夫種植作物。
artist,藝術家,She is a talented artist.,她是有才華的藝術家。
writer,作家,He is a famous writer.,他是著名的作家。
singer,歌手,The singer has a beautiful voice.,這位歌手有美麗的聲音。
actor,演員,He is a movie actor.,他是電影演員。
actress,女演員,She is a famous actress.,她是著名女演員。
help,幫助,Can you help me?,你能幫我嗎？
thank,感謝,Thank you very much.,非常感謝你。
sorry,對不起,I'm sorry for being late.,我很抱歉遲到了。
please,請,Please come in.,請進。
hello,你好,Hello, how are you?,你好，你好嗎？
goodbye,再見,Goodbye, see you tomorrow.,再見，明天見。
morning,早晨,Good morning!,早安！
afternoon,下午,Good afternoon!,午安！
evening,傍晚,Good evening!,晚安！
night,夜晚,Good night!,晚安！
day,天,What day is today?,今天是星期幾？
week,週,I work five days a week.,我每週工作五天。
month,月,This month has 30 days.,這個月有30天。
year,年,Happy New Year!,新年快樂！
time,時間,What time is it?,現在幾點？
clock,時鐘,The clock is on the wall.,時鐘在牆上。
watch,手錶,I wear a watch every day.,我每天戴手錶。
calendar,日曆,Check the calendar for the date.,查看日曆確定日期。
date,日期,What is today's date?,今天是幾月幾日？
street,街道,I live on Main Street.,我住在主街。
road,道路,The road is busy.,道路很繁忙。
city,城市,New York is a big city.,紐約是大城市。 
